plasmid_name,genbank_id
pANe-1,MN436792
pANe-2,MN436793
pANe-3,MN436794
pANe-4,MN436795
pANo-1,MN436796
pANo-2,MN436797
pANo-3,MN436798
pANo-4,MN436799
pCAe-1,MN436800
pCAe-2,MN436801
pCAe-3,MN436802
pCAe-4,MN436803
pCAo-1,MN436804
pCAo-2,MN436805
pCAo-3,MN436806
pCAo-4,MN436807
pCOe-1,MN436808
pCOe-2,MN436809
pCOe-3,MN436810
pCOe-4,MN436811
pCOo-1,MN436812
pCOo-2,MN436813
pCOo-3,MN436814
pCOo-4,MN436815
pL0R-lacZ,MN436816
pSBe-1,MN436817
pSBe-2,MN436818
pSBe-3,MN436819
pSBe-4,MN436820
pSBo-1,MN436821
pSBo-2,MN436822
pSBo-3,MN436823
pSBo-4,MN436824
